;;380.6771 s;;;142.4633 s;;;138.5619 s;;;109.1982 s;;;394.8132 s;;;93.6671 s;133.4111 s;105.2371 s;177.1936 s;390.8702 s;89.6806 s;;;
Brute X;Brute Y;time;Rand X;Rand Y;time;R_Breadth X;R_Breadth Y;time;D_Breadth X;D_Breadth Y;time;Ro_Breadth X;Ro_Breadth Y;time;Br_Breadth X;Br_Breadth Y;time;RoD_Breadth X;RoD_Breadth Y;time;rand time;double time;round time;breadth;ro_do
418;363;0.6761 s;418;363;0.0245 s;418;363;0.0150 s;418;363;0.0130 s;418;363;0.0130 s;418;363;0.0130 s;418;363;0.0120 s;0.0235 s;0.1810 s;0.0030 s;0.0040 s;0.0010 s
0;0;1.3795 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.5510 s;0.4115 s;1.6423 s;3.6538 s;0.8196 s
377;377;0.6901 s;377;377;0.0210 s;377;377;0.0185 s;377;377;0.0140 s;377;377;0.0140 s;377;377;0.0140 s;377;377;0.0140 s;0.0030 s;0.1862 s;0.0000 s;0.0000 s;0.0000 s
0;0;1.3771 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.5836 s;0.4105 s;1.6290 s;3.6541 s;0.8240 s
0;0;1.3908 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.5740 s;0.4366 s;1.6323 s;3.7968 s;0.8485 s
336;363;0.6809 s;336;363;0.0271 s;336;363;0.0170 s;336;363;0.0120 s;336;363;0.0120 s;336;363;0.0115 s;336;363;0.0120 s;0.0060 s;0.1812 s;0.0030 s;0.0050 s;0.0020 s
273;196;0.3775 s;273;196;0.0195 s;273;196;0.0070 s;273;196;0.0060 s;273;196;0.0060 s;273;196;0.0060 s;273;196;0.0055 s;0.0060 s;0.0993 s;0.3106 s;0.8879 s;0.1572 s
504;451;0.8487 s;504;451;0.0230 s;504;451;0.0110 s;504;451;0.0091 s;504;451;0.0080 s;504;451;0.0090 s;504;451;0.0075 s;0.0030 s;0.2301 s;0.1320 s;0.3844 s;0.0670 s
0;0;1.3944 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.5799 s;0.4140 s;1.6436 s;3.6622 s;0.8246 s
448;378;0.7092 s;448;378;0.0230 s;448;378;0.0140 s;448;378;0.0140 s;448;378;0.0140 s;448;378;0.0130 s;448;378;0.0120 s;0.0050 s;0.1930 s;0.0300 s;0.0330 s;0.0160 s
188;373;0.6705 s;188;373;0.0170 s;188;373;0.0080 s;188;373;0.0070 s;188;373;0.0060 s;188;373;0.0070 s;188;373;0.0060 s;0.0080 s;0.1931 s;0.3474 s;0.3750 s;0.1781 s
357;367;0.6819 s;357;367;0.0220 s;357;367;0.0170 s;357;367;0.0130 s;357;367;0.0130 s;357;367;0.0130 s;357;367;0.0140 s;0.0040 s;0.1840 s;0.0000 s;0.0000 s;0.0000 s
