;;380.6771 s;;;142.4633 s;;;138.5619 s;;;109.1982 s;;;394.8132 s;;;93.6671 s;133.4111 s;105.2371 s;177.1936 s;390.8702 s;89.6806 s;;;
Brute X;Brute Y;time;Rand X;Rand Y;time;R_Breadth X;R_Breadth Y;time;D_Breadth X;D_Breadth Y;time;Ro_Breadth X;Ro_Breadth Y;time;Br_Breadth X;Br_Breadth Y;time;RoD_Breadth X;RoD_Breadth Y;time;rand time;double time;round time;breadth;ro_do
443;211;0.3934 s;443;211;0.0166 s;443;211;0.0090 s;443;211;0.0070 s;443;211;0.0070 s;443;211;0.0070 s;443;211;0.0060 s;0.0020 s;0.1040 s;0.2550 s;0.5181 s;0.1240 s
375;376;0.6889 s;375;376;0.0300 s;375;376;0.0170 s;375;376;0.0135 s;375;376;0.0125 s;375;376;0.0130 s;375;376;0.0130 s;0.0020 s;0.1811 s;0.0000 s;0.0000 s;0.0000 s
247;264;0.4701 s;247;264;0.0160 s;247;264;0.0090 s;247;264;0.0070 s;247;264;0.0060 s;247;264;0.0070 s;247;264;0.0070 s;0.0030 s;0.1258 s;0.1380 s;0.5697 s;0.0700 s
408;160;0.2966 s;408;160;0.0220 s;408;160;0.0070 s;408;160;0.0060 s;408;160;0.0060 s;408;160;0.0050 s;408;160;0.0055 s;0.0090 s;0.0759 s;0.4614 s;0.6176 s;0.2265 s
511;505;0.9355 s;511;505;0.0240 s;511;505;0.0090 s;511;505;0.0065 s;511;505;0.0060 s;511;505;0.0070 s;511;505;0.0070 s;0.0130 s;0.2547 s;0.1630 s;0.7062 s;0.0820 s
0;0;1.4195 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4535 s;0.3975 s;1.5879 s;3.5813 s;0.7938 s
318;322;0.5834 s;318;322;0.0250 s;318;322;0.0130 s;318;322;0.0100 s;318;322;0.0100 s;318;322;0.0100 s;318;322;0.0100 s;0.0210 s;0.1551 s;0.0190 s;0.0769 s;0.0100 s
332;406;0.7347 s;332;406;0.0220 s;332;406;0.0150 s;333;406;0.0110 s;332;406;0.0120 s;332;406;0.0110 s;332;406;0.0120 s;0.0030 s;0.1980 s;0.0050 s;0.0170 s;0.0020 s
502;129;0.2430 s;502;129;0.0200 s;502;129;0.0040 s;502;129;0.0040 s;502;129;0.0040 s;502;129;0.0030 s;502;129;0.0030 s;0.0180 s;0.0610 s;0.6338 s;1.5883 s;0.3290 s
340;351;0.6502 s;340;351;0.0200 s;340;351;0.0150 s;340;351;0.0120 s;340;351;0.0120 s;340;351;0.0120 s;340;351;0.0120 s;0.0010 s;0.1685 s;0.0020 s;0.0080 s;0.0010 s
403;390;0.7169 s;403;390;0.0256 s;403;390;0.0150 s;403;390;0.0120 s;403;390;0.0120 s;403;390;0.0120 s;403;390;0.0120 s;0.0070 s;0.1910 s;0.0000 s;0.0000 s;0.0000 s
0;0;1.3745 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4732 s;0.3947 s;1.5668 s;3.5416 s;0.8008 s
323;577;1.0550 s;323;577;0.0251 s;323;577;0.0079 s;323;577;0.0050 s;323;577;0.0050 s;323;577;0.0060 s;323;577;0.0060 s;0.0404 s;0.2995 s;0.3831 s;0.6481 s;0.1910 s
451;331;0.6322 s;451;331;0.0180 s;451;331;0.0130 s;451;331;0.0100 s;451;331;0.0101 s;451;331;0.0100 s;451;331;0.0100 s;0.0010 s;0.1571 s;0.0288 s;0.0905 s;0.0146 s
568;209;0.4009 s;568;209;0.0160 s;568;209;0.0050 s;568;209;0.0040 s;568;209;0.0040 s;568;209;0.0040 s;568;209;0.0037 s;0.0030 s;0.1001 s;0.3412 s;1.4525 s;0.1750 s
371;365;0.6722 s;371;365;0.0130 s;371;365;0.0170 s;371;365;0.0129 s;371;365;0.0130 s;371;365;0.0130 s;371;365;0.0130 s;0.0070 s;0.1738 s;0.0000 s;0.0000 s;0.0000 s
432;344;0.6429 s;432;344;0.0180 s;432;344;0.0150 s;432;344;0.0100 s;432;344;0.0110 s;432;344;0.0110 s;432;344;0.0110 s;0.0070 s;0.1686 s;0.0110 s;0.0330 s;0.0060 s
366;340;0.6199 s;366;340;0.0170 s;366;340;0.0160 s;366;340;0.0120 s;366;340;0.0120 s;366;340;0.0110 s;366;340;0.0110 s;0.0020 s;0.1640 s;0.0010 s;0.0020 s;0.0010 s
282;159;0.2840 s;282;159;0.0180 s;282;159;0.0060 s;282;159;0.0040 s;282;159;0.0050 s;282;159;0.0040 s;282;159;0.0050 s;0.0070 s;0.0760 s;0.4615 s;1.0584 s;0.2310 s
0;0;1.3870 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4659 s;0.3955 s;1.5863 s;3.5211 s;0.7930 s
325;436;0.7899 s;325;436;0.0210 s;325;436;0.0150 s;325;436;0.0110 s;325;436;0.0110 s;325;436;0.0096 s;325;436;0.0100 s;0.0130 s;0.2185 s;0.0170 s;0.0740 s;0.0090 s
378;376;0.6776 s;378;376;0.0170 s;378;376;0.0170 s;378;376;0.0130 s;378;376;0.0142 s;378;376;0.0130 s;378;376;0.0127 s;0.0060 s;0.1810 s;0.0000 s;0.0000 s;0.0000 s
375;401;0.7218 s;375;401;0.0190 s;375;401;0.0160 s;375;401;0.0130 s;375;401;0.0120 s;375;401;0.0130 s;375;401;0.0120 s;0.0010 s;0.1949 s;0.0000 s;0.0000 s;0.0000 s
379;452;0.8180 s;379;452;0.0271 s;379;452;0.0130 s;379;452;0.0100 s;379;452;0.0110 s;379;452;0.0100 s;379;452;0.0100 s;0.0030 s;0.2270 s;0.0300 s;0.0320 s;0.0150 s
432;310;0.5672 s;432;310;0.0190 s;432;310;0.0130 s;432;310;0.0100 s;432;310;0.0091 s;432;310;0.0099 s;432;310;0.0100 s;0.0050 s;0.1490 s;0.0250 s;0.0958 s;0.0117 s
400;385;0.6991 s;400;385;0.0190 s;400;385;0.0150 s;400;385;0.0126 s;401;385;0.0140 s;401;385;0.0130 s;401;385;0.0140 s;0.0010 s;0.1890 s;0.0000 s;0.0000 s;0.0000 s
296;263;0.4724 s;296;263;0.0190 s;296;263;0.0100 s;296;263;0.0070 s;296;263;0.0080 s;296;263;0.0080 s;296;263;0.0090 s;0.0180 s;0.1293 s;0.0980 s;0.3350 s;0.0495 s
617;661;1.2036 s;617;661;0.0220 s;617;661;0.0010 s;617;661;0.0010 s;617;661;0.0010 s;617;661;0.0010 s;617;661;0.0020 s;0.0910 s;0.3432 s;0.8431 s;2.8651 s;0.4241 s
210;257;0.4473 s;210;257;0.0170 s;210;257;0.0070 s;210;257;0.0050 s;210;257;0.0060 s;210;257;0.0060 s;210;257;0.0060 s;0.0030 s;0.1250 s;0.2506 s;0.8589 s;0.1260 s
206;296;0.5190 s;206;296;0.0160 s;206;296;0.0080 s;206;296;0.0060 s;206;296;0.0060 s;206;296;0.0060 s;206;296;0.0060 s;0.0020 s;0.1450 s;0.2650 s;0.6501 s;0.1346 s
300;325;0.5766 s;300;325;0.0190 s;300;325;0.0125 s;300;325;0.0100 s;300;325;0.0100 s;300;325;0.0100 s;300;325;0.0090 s;0.0050 s;0.1590 s;0.0320 s;0.1090 s;0.0160 s
320;339;0.6054 s;320;339;0.0150 s;320;338;0.0140 s;320;339;0.0110 s;320;338;0.0110 s;320;338;0.0105 s;320;338;0.0100 s;0.0030 s;0.1666 s;0.0120 s;0.0431 s;0.0070 s
378;379;0.6860 s;378;379;0.0220 s;378;379;0.0170 s;378;379;0.0130 s;378;379;0.0140 s;378;379;0.0120 s;378;379;0.0130 s;0.0070 s;0.1880 s;0.0000 s;0.0000 s;0.0000 s
398;409;0.7402 s;398;409;0.0250 s;398;409;0.0150 s;398;409;0.0110 s;398;409;0.0120 s;398;409;0.0120 s;398;409;0.0120 s;0.0020 s;0.2025 s;0.0010 s;0.0030 s;0.0000 s
327;443;0.8267 s;327;443;0.0280 s;327;443;0.0130 s;327;443;0.0110 s;327;443;0.0100 s;327;443;0.0110 s;327;443;0.0100 s;0.0020 s;0.2198 s;0.0215 s;0.0807 s;0.0110 s
202;655;1.1692 s;202;655;0.0200 s;202;655;0.0030 s;202;655;0.0020 s;202;655;0.0020 s;202;655;0.0020 s;202;655;0.0020 s;0.0070 s;0.3410 s;0.8112 s;2.3487 s;0.4089 s
431;313;0.5727 s;431;313;0.0140 s;431;313;0.0130 s;431;313;0.0100 s;431;313;0.0100 s;431;313;0.0100 s;431;313;0.0105 s;0.0000 s;0.1507 s;0.0220 s;0.0860 s;0.0110 s
368;193;0.3487 s;368;193;0.0190 s;368;193;0.0080 s;368;193;0.0060 s;368;193;0.0070 s;368;193;0.0060 s;368;193;0.0065 s;0.0080 s;0.0930 s;0.3186 s;0.3485 s;0.1698 s
404;357;0.6551 s;404;357;0.0290 s;404;357;0.0160 s;404;357;0.0130 s;404;357;0.0120 s;404;357;0.0120 s;404;357;0.0120 s;0.0030 s;0.1743 s;0.0000 s;0.0010 s;0.0000 s
393;370;0.7355 s;393;370;0.0200 s;393;370;0.0160 s;393;370;0.0120 s;393;370;0.0120 s;393;370;0.0130 s;393;370;0.0130 s;0.0010 s;0.1823 s;0.0000 s;0.0000 s;0.0000 s
466;337;0.6223 s;466;337;0.0260 s;466;337;0.0120 s;466;337;0.0100 s;466;337;0.0090 s;466;337;0.0090 s;466;337;0.0090 s;0.0130 s;0.1651 s;0.0520 s;0.1110 s;0.0270 s
434;471;0.8574 s;434;471;0.0170 s;434;471;0.0120 s;434;471;0.0100 s;434;471;0.0090 s;434;471;0.0090 s;434;471;0.0090 s;0.0020 s;0.2476 s;0.0650 s;0.2005 s;0.0310 s
400;363;0.6627 s;400;363;0.0240 s;400;363;0.0160 s;400;363;0.0120 s;400;363;0.0120 s;400;363;0.0125 s;400;363;0.0131 s;0.0020 s;0.1816 s;0.0000 s;0.0000 s;0.0000 s
300;267;0.4828 s;300;267;0.0200 s;300;267;0.0110 s;300;267;0.0080 s;300;267;0.0090 s;300;267;0.0080 s;300;267;0.0090 s;0.0040 s;0.1310 s;0.0900 s;0.3009 s;0.0446 s
613;191;0.3785 s;613;191;0.0190 s;613;191;0.0040 s;614;191;0.0030 s;614;191;0.0030 s;613;191;0.0030 s;614;191;0.0020 s;0.0180 s;0.0920 s;0.5640 s;2.0546 s;0.2870 s
355;378;0.6813 s;355;378;0.0290 s;355;378;0.0158 s;355;378;0.0120 s;355;378;0.0130 s;355;378;0.0120 s;355;378;0.0130 s;0.0000 s;0.1844 s;0.0000 s;0.0000 s;0.0000 s
83;177;0.3141 s;83;177;0.0210 s;83;178;0.0010 s;83;178;0.0010 s;83;178;0.0020 s;83;177;0.0020 s;83;178;0.0020 s;0.0030 s;0.0870 s;0.9167 s;2.6236 s;0.4531 s
348;351;0.6456 s;348;351;0.0140 s;348;351;0.0150 s;348;351;0.0120 s;348;351;0.0120 s;348;351;0.0120 s;348;351;0.0110 s;0.0000 s;0.1735 s;0.0010 s;0.0030 s;0.0010 s
325;397;0.7095 s;325;397;0.0250 s;325;397;0.0150 s;325;397;0.0120 s;325;397;0.0110 s;325;397;0.0110 s;325;397;0.0112 s;0.0030 s;0.1949 s;0.0080 s;0.0146 s;0.0040 s
341;370;0.6639 s;341;370;0.0195 s;341;370;0.0155 s;341;370;0.0120 s;341;370;0.0120 s;341;370;0.0120 s;341;370;0.0120 s;0.0035 s;0.1801 s;0.0010 s;0.0010 s;0.0010 s
345;348;0.6256 s;345;348;0.0200 s;345;348;0.0170 s;345;348;0.0140 s;345;348;0.0110 s;345;348;0.0110 s;345;348;0.0110 s;0.0040 s;0.1960 s;0.0020 s;0.0070 s;0.0010 s
246;413;0.7287 s;246;413;0.0256 s;246;413;0.0100 s;246;413;0.0080 s;246;413;0.0080 s;246;413;0.0085 s;246;413;0.0080 s;0.0020 s;0.2040 s;0.1405 s;0.2285 s;0.0700 s
348;259;0.4645 s;348;259;0.0232 s;348;259;0.0110 s;348;259;0.0100 s;348;259;0.0090 s;348;259;0.0080 s;348;259;0.0088 s;0.0140 s;0.1252 s;0.1060 s;0.1600 s;0.0534 s
0;0;1.3939 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4454 s;0.4019 s;1.6032 s;3.5270 s;0.8016 s
416;316;0.5761 s;416;316;0.0170 s;416;316;0.0140 s;416;316;0.0110 s;416;316;0.0110 s;416;316;0.0105 s;416;316;0.0110 s;0.0020 s;0.1525 s;0.0160 s;0.0503 s;0.0080 s
0;0;1.3553 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4954 s;0.4140 s;1.5844 s;3.5313 s;0.8011 s
323;354;0.6334 s;323;354;0.0135 s;323;354;0.0150 s;323;354;0.0110 s;323;354;0.0110 s;323;354;0.0110 s;323;354;0.0110 s;0.0088 s;0.1714 s;0.0100 s;0.0200 s;0.0050 s
269;391;0.6918 s;269;391;0.0206 s;269;391;0.0110 s;269;391;0.0090 s;269;391;0.0090 s;269;391;0.0100 s;269;391;0.0100 s;0.0030 s;0.1920 s;0.0850 s;0.1026 s;0.0440 s
390;385;0.7350 s;390;385;0.0140 s;390;385;0.0170 s;390;385;0.0130 s;390;385;0.0130 s;390;385;0.0120 s;390;385;0.0130 s;0.0040 s;0.1870 s;0.0000 s;0.0000 s;0.0000 s
0;0;1.3546 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4472 s;0.4023 s;1.6177 s;3.5266 s;0.8043 s
0;0;1.3722 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4759 s;0.4001 s;1.5917 s;3.5270 s;0.8040 s
470;95;0.1780 s;470;95;0.0195 s;470;95;0.0040 s;470;95;0.0020 s;470;95;0.0030 s;470;95;0.0030 s;470;95;0.0030 s;0.0110 s;0.0450 s;0.8407 s;1.6261 s;0.4176 s
423;231;0.4231 s;423;231;0.0150 s;423;231;0.0100 s;423;231;0.0080 s;423;231;0.0080 s;423;231;0.0080 s;423;231;0.0070 s;0.0040 s;0.1130 s;0.1840 s;0.3231 s;0.0920 s
142;338;0.6080 s;142;338;0.0140 s;142;338;0.0060 s;142;338;0.0050 s;142;338;0.0050 s;142;338;0.0040 s;142;338;0.0050 s;0.0140 s;0.1662 s;0.5707 s;0.7763 s;0.2767 s
675;354;0.6676 s;675;354;0.0180 s;675;354;0.0030 s;675;354;0.0030 s;675;354;0.0020 s;675;354;0.0035 s;675;354;0.0030 s;0.0123 s;0.1760 s;0.9403 s;1.1216 s;0.4775 s
332;513;0.9299 s;332;513;0.0220 s;332;513;0.0100 s;332;513;0.0079 s;332;513;0.0080 s;332;513;0.0080 s;332;513;0.0080 s;0.0120 s;0.2596 s;0.1544 s;0.2826 s;0.0790 s
315;351;0.6261 s;315;351;0.0280 s;315;351;0.0140 s;315;351;0.0110 s;315;351;0.0115 s;315;351;0.0105 s;315;351;0.0100 s;0.0020 s;0.1710 s;0.0170 s;0.0320 s;0.0090 s
366;314;0.5762 s;366;314;0.0255 s;366;314;0.0150 s;366;314;0.0110 s;366;314;0.0110 s;366;314;0.0100 s;366;314;0.0100 s;0.0020 s;0.1960 s;0.0170 s;0.0190 s;0.0090 s
378;372;0.6751 s;378;372;0.0130 s;378;372;0.0170 s;378;372;0.0130 s;378;372;0.0130 s;378;372;0.0120 s;378;372;0.0130 s;0.0110 s;0.1814 s;0.0000 s;0.0000 s;0.0000 s
355;591;1.0791 s;355;591;0.0184 s;355;591;0.0066 s;355;591;0.0050 s;355;591;0.0050 s;355;591;0.0060 s;355;591;0.0060 s;0.0161 s;0.3037 s;0.4510 s;0.5462 s;0.2277 s
443;423;0.7881 s;443;423;0.0240 s;443;423;0.0130 s;443;423;0.0100 s;443;423;0.0106 s;443;423;0.0095 s;443;423;0.0100 s;0.0010 s;0.2101 s;0.0223 s;0.0766 s;0.0120 s
0;0;1.3581 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4804 s;0.4002 s;1.6027 s;3.5491 s;0.8058 s
381;473;0.8632 s;381;473;0.0240 s;381;473;0.0130 s;381;473;0.0100 s;381;473;0.0100 s;381;473;0.0090 s;381;473;0.0095 s;0.0110 s;0.2351 s;0.0606 s;0.0675 s;0.0320 s
307;468;0.8361 s;307;468;0.0200 s;307;468;0.0120 s;307;468;0.0080 s;307;468;0.0090 s;307;468;0.0090 s;307;468;0.0090 s;0.0030 s;0.2322 s;0.0549 s;0.2050 s;0.0280 s
390;369;0.6691 s;390;369;0.0240 s;390;369;0.0180 s;390;369;0.0130 s;390;368;0.0131 s;390;368;0.0120 s;390;368;0.0120 s;0.0040 s;0.1851 s;0.0000 s;0.0000 s;0.0000 s
64;450;0.7828 s;64;450;0.0155 s;64;450;0.0030 s;64;450;0.0020 s;64;450;0.0020 s;64;450;0.0020 s;64;450;0.0020 s;0.0000 s;0.2270 s;1.0465 s;1.7453 s;0.5220 s
330;224;0.4040 s;330;224;0.0170 s;330;224;0.0090 s;330;224;0.0070 s;330;224;0.0070 s;330;224;0.0070 s;330;224;0.0080 s;0.0080 s;0.1090 s;0.2060 s;0.3600 s;0.1020 s
405;261;0.4767 s;405;261;0.0230 s;405;261;0.0110 s;405;261;0.0080 s;405;261;0.0090 s;405;261;0.0100 s;405;261;0.0100 s;0.0020 s;0.1285 s;0.1034 s;0.1626 s;0.0540 s
302;481;0.8662 s;302;481;0.0220 s;302;481;0.0110 s;302;481;0.0080 s;302;481;0.0090 s;302;481;0.0090 s;302;481;0.0080 s;0.0050 s;0.2412 s;0.0760 s;0.2750 s;0.0401 s
465;270;0.4967 s;465;270;0.0230 s;465;270;0.0110 s;465;270;0.0080 s;465;270;0.0080 s;465;270;0.0080 s;465;270;0.0090 s;0.0020 s;0.1315 s;0.0827 s;0.3380 s;0.0440 s
324;369;0.6582 s;324;369;0.0120 s;324;369;0.0150 s;324;369;0.0120 s;324;369;0.0115 s;324;369;0.0120 s;324;369;0.0110 s;0.0010 s;0.1791 s;0.0094 s;0.0090 s;0.0050 s
432;544;1.0052 s;432;544;0.0270 s;432;544;0.0090 s;432;544;0.0060 s;432;544;0.0060 s;432;544;0.0060 s;432;544;0.0070 s;0.0020 s;0.2784 s;0.2505 s;0.4668 s;0.1269 s
393;339;0.6169 s;393;339;0.0150 s;393;339;0.0150 s;393;339;0.0120 s;393;339;0.0120 s;393;339;0.0120 s;393;339;0.0116 s;0.0010 s;0.1643 s;0.0010 s;0.0040 s;0.0010 s
369;407;0.7321 s;369;407;0.0230 s;369;407;0.0160 s;369;407;0.0120 s;369;407;0.0120 s;369;407;0.0120 s;369;407;0.0130 s;0.0040 s;0.2020 s;0.0000 s;0.0000 s;0.0000 s
613;732;1.3382 s;613;732;0.0185 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.1592 s;0.3870 s;1.4087 s;3.2496 s;0.7153 s
304;50;0.0900 s;304;50;0.0170 s;304;50;0.0020 s;304;50;0.0010 s;304;50;0.0020 s;304;50;0.0020 s;304;50;0.0020 s;0.0120 s;0.0230 s;1.1513 s;1.8320 s;0.5943 s
538;393;0.7298 s;538;393;0.0120 s;538;393;0.0100 s;538;393;0.0070 s;538;393;0.0090 s;538;393;0.0070 s;538;393;0.0080 s;0.0050 s;0.1960 s;0.2326 s;0.2773 s;0.1170 s
589;205;0.3859 s;589;205;0.0220 s;589;205;0.0040 s;589;205;0.0030 s;589;205;0.0040 s;589;205;0.0030 s;589;205;0.0030 s;0.0155 s;0.1006 s;0.4390 s;1.6894 s;0.2350 s
549;549;1.0055 s;549;549;0.0180 s;549;549;0.0050 s;549;549;0.0050 s;549;549;0.0050 s;549;549;0.0040 s;549;549;0.0040 s;0.0020 s;0.2788 s;0.3010 s;1.3143 s;0.1508 s
280;188;0.3351 s;280;188;0.0230 s;280;188;0.0070 s;280;188;0.0060 s;280;188;0.0060 s;280;188;0.0060 s;280;188;0.0060 s;0.0060 s;0.0920 s;0.3329 s;0.8697 s;0.1673 s
511;373;0.6947 s;511;373;0.0250 s;511;373;0.0100 s;511;373;0.0090 s;511;373;0.0080 s;511;373;0.0080 s;511;373;0.0090 s;0.0010 s;0.1823 s;0.1480 s;0.1580 s;0.0760 s
400;200;0.3636 s;400;200;0.0220 s;400;200;0.0080 s;400;200;0.0069 s;400;200;0.0060 s;400;200;0.0070 s;400;200;0.0066 s;0.0010 s;0.0961 s;0.2901 s;0.3577 s;0.1460 s
390;532;0.9586 s;390;532;0.0235 s;390;532;0.0100 s;390;532;0.0080 s;390;532;0.0080 s;390;532;0.0080 s;390;532;0.0080 s;0.0010 s;0.2775 s;0.2513 s;0.2371 s;0.1086 s
374;387;0.7012 s;374;387;0.0250 s;374;387;0.0170 s;374;387;0.0130 s;374;387;0.0130 s;374;387;0.0130 s;374;387;0.0120 s;0.0070 s;0.1880 s;0.0000 s;0.0000 s;0.0000 s
163;495;0.9076 s;163;495;0.0170 s;163;495;0.0060 s;163;495;0.0040 s;163;495;0.0040 s;163;495;0.0050 s;163;495;0.0050 s;0.0040 s;0.2492 s;0.4514 s;1.2358 s;0.2255 s
338;381;0.6798 s;338;381;0.0160 s;338;381;0.0150 s;338;381;0.0120 s;338;381;0.0111 s;338;381;0.0120 s;338;381;0.0110 s;0.0030 s;0.1872 s;0.0030 s;0.0020 s;0.0020 s
0;0;1.3719 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4383 s;0.3972 s;1.6260 s;3.5379 s;0.8025 s
0;0;1.3563 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4639 s;0.4015 s;1.5933 s;3.5413 s;0.7998 s
571;518;0.9787 s;571;518;0.0250 s;571;518;0.0060 s;570;518;0.0040 s;571;518;0.0050 s;571;518;0.0050 s;571;518;0.0040 s;0.0040 s;0.2670 s;0.3640 s;1.2438 s;0.1816 s
397;262;0.4811 s;397;262;0.0150 s;397;262;0.0120 s;397;262;0.0090 s;397;262;0.0090 s;397;262;0.0093 s;397;262;0.0090 s;0.0160 s;0.1310 s;0.1003 s;0.1283 s;0.0505 s
143;111;0.1900 s;143;111;0.0180 s;143;111;0.0020 s;143;111;0.0010 s;143;111;0.0010 s;143;111;0.0010 s;143;111;0.0020 s;0.0990 s;0.0530 s;0.7424 s;2.6903 s;0.3650 s
517;439;0.8102 s;517;439;0.0130 s;517;439;0.0105 s;517;439;0.0070 s;517;439;0.0070 s;517;439;0.0070 s;517;439;0.0080 s;0.0150 s;0.2196 s;0.1680 s;0.3714 s;0.0836 s
214;674;1.2068 s;214;674;0.0170 s;214;674;0.0020 s;214;674;0.0021 s;214;674;0.0020 s;214;674;0.0020 s;214;674;0.0020 s;0.0450 s;0.3503 s;0.9282 s;2.3894 s;0.4750 s
394;338;0.6271 s;394;338;0.0260 s;394;338;0.0155 s;394;338;0.0120 s;394;338;0.0110 s;394;338;0.0110 s;394;338;0.0120 s;0.0140 s;0.1636 s;0.0020 s;0.0050 s;0.0010 s
303;387;0.6882 s;303;387;0.0280 s;303;387;0.0130 s;303;387;0.0100 s;303;387;0.0103 s;303;387;0.0100 s;303;387;0.0100 s;0.0080 s;0.1900 s;0.0304 s;0.0331 s;0.0150 s
435;388;0.7098 s;435;388;0.0170 s;435;388;0.0135 s;435;388;0.0110 s;435;388;0.0110 s;435;388;0.0110 s;435;388;0.0110 s;0.0050 s;0.1900 s;0.0130 s;0.0140 s;0.0070 s
369;350;0.6333 s;369;350;0.0140 s;369;350;0.0150 s;369;350;0.0120 s;369;350;0.0120 s;369;350;0.0120 s;369;350;0.0120 s;0.0010 s;0.1699 s;0.0000 s;0.0000 s;0.0000 s
62;330;0.5671 s;62;330;0.0210 s;62;330;0.0030 s;62;330;0.0020 s;62;330;0.0020 s;62;330;0.0020 s;62;330;0.0020 s;0.0356 s;0.1644 s;1.0912 s;1.4701 s;0.5337 s
0;0;1.3558 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4719 s;0.4005 s;1.5821 s;3.5298 s;0.7970 s
424;176;0.3211 s;424;176;0.0160 s;424;176;0.0070 s;424;176;0.0060 s;424;176;0.0060 s;424;176;0.0060 s;424;176;0.0060 s;0.0190 s;0.0840 s;0.3840 s;0.6101 s;0.1930 s
625;142;0.2711 s;625;142;0.0200 s;625;142;0.0020 s;625;142;0.0010 s;625;142;0.0020 s;625;142;0.0020 s;625;142;0.0010 s;0.0290 s;0.0687 s;0.6402 s;2.5968 s;0.3230 s
354;368;0.6750 s;354;368;0.0280 s;354;368;0.0170 s;354;368;0.0130 s;354;368;0.0120 s;354;368;0.0140 s;354;368;0.0130 s;0.0050 s;0.1929 s;0.0000 s;0.0000 s;0.0000 s
352;374;0.7720 s;352;374;0.0200 s;352;374;0.0180 s;352;374;0.0140 s;352;374;0.0130 s;352;374;0.0136 s;352;374;0.0130 s;0.0000 s;0.1950 s;0.0000 s;0.0000 s;0.0000 s
348;451;0.8382 s;348;451;0.0230 s;348;451;0.0130 s;348;451;0.0110 s;348;451;0.0100 s;348;451;0.0100 s;348;451;0.0110 s;0.0220 s;0.2349 s;0.0300 s;0.0580 s;0.0150 s
431;319;0.6138 s;431;319;0.0280 s;431;319;0.0165 s;431;319;0.0110 s;431;319;0.0100 s;431;319;0.0100 s;431;319;0.0110 s;0.0130 s;0.1718 s;0.0190 s;0.0740 s;0.0100 s
509;531;1.0087 s;509;531;0.0230 s;509;531;0.0080 s;509;531;0.0060 s;509;531;0.0060 s;509;531;0.0060 s;509;531;0.0060 s;0.0100 s;0.2719 s;0.2108 s;0.8706 s;0.1061 s
502;320;0.5957 s;502;320;0.0176 s;502;320;0.0110 s;502;320;0.0080 s;502;320;0.0090 s;502;320;0.0080 s;502;320;0.0080 s;0.0030 s;0.1586 s;0.1230 s;0.2860 s;0.0640 s
371;288;0.5256 s;371;288;0.0150 s;371;288;0.0130 s;371;288;0.0100 s;371;288;0.0100 s;371;288;0.0100 s;371;288;0.0100 s;0.0100 s;0.1390 s;0.0500 s;0.0524 s;0.0250 s
467;689;1.2420 s;467;689;0.0210 s;467;689;0.0030 s;467;689;0.0020 s;467;689;0.0020 s;467;689;0.0020 s;467;689;0.0020 s;0.0106 s;0.3637 s;1.0462 s;1.8865 s;0.5208 s
371;421;0.7685 s;371;421;0.0190 s;371;421;0.0160 s;371;421;0.0110 s;371;421;0.0110 s;371;421;0.0110 s;371;421;0.0120 s;0.0030 s;0.2100 s;0.0050 s;0.0050 s;0.0030 s
337;390;0.7018 s;337;390;0.0265 s;337;390;0.0158 s;337;390;0.0120 s;337;390;0.0120 s;337;390;0.0120 s;337;390;0.0120 s;0.0030 s;0.1918 s;0.0020 s;0.0040 s;0.0010 s
248;338;0.5962 s;248;338;0.0250 s;248;338;0.0110 s;248;338;0.0090 s;248;338;0.0080 s;248;338;0.0080 s;248;338;0.0080 s;0.0140 s;0.1640 s;0.1325 s;0.2285 s;0.0680 s
