;;380.2414 s;;;9.0735 s;;;4.4095 s;358.7403 s;95.5363 s;106.2883 s;176.9613 s;376.4479 s;89.2441 s
Brute X;Brute Y;time;Quad X;Quad Y;time;Breadth X;Breadth Y;time;Brute;Rand;Double;Round;Breadth;Round&Double
0;0;0.7078 s;407;389;0.0140 s;407;389;0.0130 s;0.6504 s;0.0099 s;0.1916 s;0.0000 s;0.0010 s;0.0000 s
0;0;1.3704 s;0;0;0.0000 s;0;0;0.0000 s;1.3668 s;1.5642 s;0.4040 s;1.5862 s;3.4423 s;0.8021 s
0;0;0.5722 s;511;306;0.0170 s;511;306;0.0080 s;0.5090 s;0.0210 s;0.1504 s;0.1487 s;0.3641 s;0.0756 s
0;0;0.7316 s;284;415;0.0180 s;284;415;0.0110 s;0.6965 s;0.0100 s;0.2070 s;0.0570 s;0.1170 s;0.0290 s
0;0;0.5081 s;97;296;0.0200 s;97;296;0.0030 s;0.5231 s;0.0040 s;0.1490 s;0.8230 s;1.4691 s;0.4200 s
0;0;0.5080 s;347;278;0.0170 s;347;278;0.0110 s;0.4650 s;0.0250 s;0.1360 s;0.0690 s;0.1125 s;0.0340 s
0;0;0.7859 s;416;430;0.0210 s;416;430;0.0120 s;0.7245 s;0.0390 s;0.2155 s;0.0110 s;0.0380 s;0.0050 s
0;0;1.3563 s;0;0;0.0000 s;0;0;0.0000 s;1.3410 s;1.5785 s;0.4023 s;1.5960 s;3.4331 s;0.8073 s
0;0;0.4922 s;34;282;0.0100 s;34;282;0.0015 s;0.4863 s;0.0271 s;0.1445 s;1.3012 s;2.1857 s;0.6492 s
0;0;0.6598 s;108;377;0.0254 s;108;377;0.0036 s;0.6520 s;0.0040 s;0.1958 s;0.7575 s;0.7981 s;0.3834 s
0;0;0.2335 s;296;129;0.0225 s;296;129;0.0040 s;0.2128 s;0.0595 s;0.0650 s;0.6363 s;1.1832 s;0.3211 s
0;0;0.7911 s;670;418;0.0260 s;670;418;0.0040 s;0.7253 s;0.0170 s;0.2157 s;0.9186 s;1.2267 s;0.4590 s
0;0;0.3092 s;303;171;0.0223 s;303;171;0.0057 s;0.2869 s;0.0668 s;0.0850 s;0.4191 s;0.7944 s;0.2081 s
