;;380.2414 s;;;9.0735 s;;;4.4095 s;358.7403 s;95.5363 s;106.2883 s;176.9613 s;376.4479 s;89.2441 s
Brute X;Brute Y;time;Quad X;Quad Y;time;Breadth X;Breadth Y;time;Brute;Rand;Double;Round;Breadth;Round&Double
0;0;1.2553 s;467;689;0.0186 s;467;689;0.0030 s;1.2366 s;0.0810 s;0.3680 s;1.0596 s;1.8484 s;0.5191 s
0;0;0.7774 s;371;421;0.0260 s;371;421;0.0130 s;0.7260 s;0.0850 s;0.2140 s;0.0040 s;0.0050 s;0.0020 s
0;0;0.7138 s;337;390;0.0200 s;337;390;0.0130 s;0.6640 s;0.0260 s;0.1940 s;0.0020 s;0.0040 s;0.0010 s
0;0;0.6010 s;248;338;0.0140 s;248;338;0.0095 s;0.5681 s;0.0850 s;0.1680 s;0.1351 s;0.2217 s;0.0685 s
0;0;0.9600 s;559;509;0.0165 s;559;509;0.0050 s;0.8918 s;0.0260 s;0.2640 s;0.3094 s;1.0583 s;0.1580 s
0;0;1.3770 s;0;0;0.0000 s;0;0;0.0000 s;1.3740 s;1.5865 s;0.4104 s;1.5922 s;3.4259 s;0.8070 s
0;0;0.7643 s;606;407;0.0250 s;606;407;0.0060 s;0.6906 s;0.0030 s;0.2055 s;0.5280 s;0.6735 s;0.2630 s
0;0;1.3762 s;0;0;0.0000 s;0;0;0.0000 s;1.3732 s;1.5959 s;0.4095 s;1.6137 s;3.4560 s;0.8086 s
0;0;0.3096 s;455;165;0.0150 s;455;165;0.0060 s;0.2717 s;0.0515 s;0.0812 s;0.4470 s;0.8702 s;0.2242 s
0;0;0.5537 s;343;305;0.0130 s;343;305;0.0130 s;0.5121 s;0.0040 s;0.1520 s;0.0280 s;0.0610 s;0.0140 s
0;0;0.7076 s;426;380;0.0289 s;426;380;0.0121 s;0.6436 s;0.0300 s;0.1910 s;0.0060 s;0.0080 s;0.0030 s
0;0;0.1720 s;669;90;0.0200 s;669;90;0.0010 s;0.1535 s;0.4834 s;0.0461 s;0.9449 s;3.1091 s;0.4786 s
0;0;0.3225 s;68;187;0.0200 s;68;187;0.0010 s;0.3165 s;0.0190 s;0.0930 s;1.0245 s;2.6646 s;0.5127 s
0;0;1.3741 s;0;0;0.0000 s;0;0;0.0000 s;1.3740 s;1.5904 s;0.4116 s;1.6112 s;3.4438 s;0.8150 s
0;0;0.8580 s;391;467;0.0260 s;391;467;0.0110 s;0.8160 s;0.0100 s;0.2408 s;0.0530 s;0.0630 s;0.0272 s
0;0;0.4707 s;393;259;0.0175 s;393;259;0.0100 s;0.4287 s;0.0455 s;0.1266 s;0.1075 s;0.1255 s;0.0530 s
0;0;0.3385 s;463;181;0.0190 s;463;181;0.0060 s;0.3011 s;0.0270 s;0.0881 s;0.3751 s;0.8172 s;0.1867 s
0;0;0.6649 s;369;358;0.0280 s;369;358;0.0140 s;0.6028 s;0.0140 s;0.1786 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.7790 s;394;426;0.0270 s;394;426;0.0130 s;0.7221 s;0.0560 s;0.2170 s;0.0070 s;0.0100 s;0.0040 s
0;0;0.6219 s;442;334;0.0166 s;442;334;0.0110 s;0.5611 s;0.0010 s;0.1675 s;0.0200 s;0.0650 s;0.0110 s
0;0;0.3609 s;321;200;0.0190 s;321;200;0.0070 s;0.3320 s;0.1070 s;0.0990 s;0.2950 s;0.5132 s;0.1460 s
0;0;0.7063 s;383;386;0.0240 s;383;386;0.0140 s;0.6458 s;0.0170 s;0.1925 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.6905 s;368;371;0.0160 s;368;371;0.0150 s;0.6339 s;0.0780 s;0.1870 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.7682 s;345;415;0.0150 s;345;415;0.0135 s;0.7050 s;0.0185 s;0.2090 s;0.0040 s;0.0130 s;0.0020 s
0;0;1.2643 s;232;701;0.0210 s;232;701;0.0010 s;1.2458 s;0.1550 s;0.3710 s;1.1473 s;2.4427 s;0.5701 s
0;0;0.8606 s;293;475;0.0200 s;293;475;0.0090 s;0.8181 s;0.0290 s;0.2410 s;0.0700 s;0.2800 s;0.0340 s
0;0;0.5542 s;385;304;0.0210 s;385;304;0.0120 s;0.5081 s;0.0260 s;0.1500 s;0.0290 s;0.0300 s;0.0150 s
0;0;0.4441 s;229;254;0.0220 s;229;254;0.0077 s;0.4154 s;0.0020 s;0.1236 s;0.1885 s;0.7410 s;0.0940 s
0;0;0.7186 s;382;392;0.0271 s;382;392;0.0139 s;0.6676 s;0.0167 s;0.1971 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.5846 s;362;318;0.0190 s;362;318;0.0120 s;0.5405 s;0.0100 s;0.1570 s;0.0130 s;0.0180 s;0.0075 s
0;0;0.7030 s;380;386;0.0170 s;380;386;0.0140 s;0.6495 s;0.0050 s;0.1915 s;0.0010 s;0.0000 s;0.0000 s
0;0;0.5306 s;350;288;0.0240 s;350;288;0.0110 s;0.4898 s;0.0010 s;0.1413 s;0.0503 s;0.0786 s;0.0240 s
0;0;0.8141 s;248;452;0.0180 s;248;452;0.0090 s;0.7813 s;0.0060 s;0.2326 s;0.1375 s;0.3680 s;0.0670 s
0;0;0.8071 s;310;451;0.0215 s;310;451;0.0110 s;0.7701 s;0.0040 s;0.2296 s;0.0350 s;0.1420 s;0.0190 s
0;0;0.7931 s;329;435;0.0170 s;329;435;0.0110 s;0.7458 s;0.0120 s;0.2215 s;0.0160 s;0.0620 s;0.0090 s
0;0;0.3542 s;222;199;0.0221 s;222;199;0.0060 s;0.3325 s;0.0590 s;0.0995 s;0.3011 s;1.1902 s;0.1490 s
0;0;0.7901 s;321;434;0.0240 s;321;434;0.0110 s;0.7392 s;0.0240 s;0.2191 s;0.0190 s;0.0730 s;0.0090 s
0;0;0.8027 s;382;438;0.0190 s;382;438;0.0120 s;0.7481 s;0.0010 s;0.2210 s;0.0160 s;0.0170 s;0.0080 s
0;0;0.7603 s;751;403;0.0100 s;751;402;0.0010 s;0.7064 s;0.0410 s;0.2121 s;1.5779 s;1.8131 s;0.7875 s
0;0;0.7731 s;421;424;0.0220 s;421;424;0.0130 s;0.7192 s;0.0240 s;0.2116 s;0.0100 s;0.0370 s;0.0050 s
0;0;0.8931 s;443;483;0.0201 s;443;483;0.0100 s;0.8466 s;0.0680 s;0.2487 s;0.0840 s;0.2451 s;0.0420 s
0;0;0.9739 s;402;531;0.0210 s;402;531;0.0080 s;0.9396 s;0.0673 s;0.2780 s;0.2110 s;0.2715 s;0.1065 s
0;0;0.6500 s;431;354;0.0225 s;431;354;0.0130 s;0.5876 s;0.0985 s;0.1750 s;0.0100 s;0.0200 s;0.0050 s
0;0;0.6111 s;390;330;0.0270 s;390;330;0.0130 s;0.5540 s;0.0200 s;0.1650 s;0.0060 s;0.0070 s;0.0030 s
0;0;0.7584 s;297;420;0.0130 s;297;420;0.0110 s;0.7171 s;0.0230 s;0.2141 s;0.0370 s;0.0960 s;0.0190 s
0;0;0.6626 s;360;368;0.0180 s;360;368;0.0141 s;0.6144 s;0.0210 s;0.1840 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.7061 s;342;385;0.0231 s;342;385;0.0140 s;0.6551 s;0.0701 s;0.1910 s;0.0010 s;0.0010 s;0.0010 s
0;0;0.5766 s;485;304;0.0230 s;485;304;0.0100 s;0.5102 s;0.0260 s;0.1503 s;0.0860 s;0.2795 s;0.0450 s
0;0;0.9578 s;430;523;0.0170 s;430;523;0.0090 s;0.9156 s;0.0210 s;0.2716 s;0.1858 s;0.3513 s;0.0940 s
0;0;0.6900 s;400;371;0.0120 s;400;371;0.0130 s;0.6255 s;0.0270 s;0.1875 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.8040 s;363;437;0.0250 s;363;437;0.0130 s;0.7560 s;0.0930 s;0.2210 s;0.0160 s;0.0190 s;0.0080 s
0;0;0.7061 s;425;380;0.0252 s;425;380;0.0130 s;0.6406 s;0.0030 s;0.1902 s;0.0070 s;0.0050 s;0.0030 s
0;0;0.7645 s;506;406;0.0270 s;506;406;0.0100 s;0.6924 s;0.0040 s;0.2055 s;0.1369 s;0.1920 s;0.0680 s
0;0;0.6375 s;359;350;0.0120 s;359;350;0.0140 s;0.5863 s;0.0120 s;0.1740 s;0.0010 s;0.0000 s;0.0000 s
0;0;0.7207 s;662;378;0.0250 s;662;378;0.0040 s;0.6519 s;0.0060 s;0.1931 s;0.8660 s;0.9178 s;0.4350 s
0;0;0.6713 s;269;373;0.0110 s;269;373;0.0110 s;0.6296 s;0.0268 s;0.1856 s;0.0880 s;0.0867 s;0.0424 s
0;0;0.7451 s;309;411;0.0140 s;309;411;0.0120 s;0.6980 s;0.0010 s;0.2070 s;0.0230 s;0.0560 s;0.0120 s
0;0;0.6971 s;334;386;0.0160 s;334;386;0.0130 s;0.6511 s;0.0330 s;0.1913 s;0.0040 s;0.0050 s;0.0020 s
0;0;0.6856 s;319;375;0.0180 s;319;375;0.0130 s;0.6287 s;0.0140 s;0.1876 s;0.0130 s;0.0140 s;0.0070 s
0;0;0.7463 s;506;396;0.0259 s;506;396;0.0100 s;0.6749 s;0.0524 s;0.1995 s;0.1415 s;0.1706 s;0.0690 s
0;0;1.1732 s;409;644;0.0200 s;409;644;0.0050 s;1.1479 s;0.0270 s;0.3380 s;0.7484 s;0.9521 s;0.3771 s
0;0;0.6921 s;371;378;0.0200 s;371;378;0.0150 s;0.6386 s;0.0285 s;0.1905 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.9705 s;250;537;0.0157 s;250;537;0.0060 s;0.9492 s;0.0101 s;0.2812 s;0.2320 s;0.8543 s;0.1170 s
0;0;0.4961 s;480;268;0.0240 s;480;268;0.0090 s;0.4421 s;0.0310 s;0.1331 s;0.0977 s;0.3996 s;0.0500 s
0;0;0.6737 s;387;369;0.0260 s;387;369;0.0160 s;0.6193 s;0.0540 s;0.1831 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.5286 s;686;273;0.0140 s;686;273;0.0030 s;0.4660 s;0.0140 s;0.1395 s;1.0320 s;1.9472 s;0.5205 s
0;0;0.6701 s;358;370;0.0120 s;358;370;0.0150 s;0.6171 s;0.0120 s;0.1840 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.4322 s;396;232;0.0260 s;396;232;0.0090 s;0.3900 s;0.0180 s;0.1145 s;0.1815 s;0.2146 s;0.0920 s
0;0;0.6551 s;313;361;0.0235 s;313;361;0.0120 s;0.6071 s;0.0200 s;0.1816 s;0.0170 s;0.0230 s;0.0090 s
0;0;1.3742 s;0;0;0.0000 s;0;0;0.0000 s;1.3587 s;1.5808 s;0.4050 s;1.6070 s;3.4723 s;0.8078 s
0;0;0.6244 s;356;339;0.0220 s;356;339;0.0140 s;0.5763 s;0.0060 s;0.1670 s;0.0020 s;0.0050 s;0.0020 s
0;0;0.5895 s;427;319;0.0250 s;427;319;0.0120 s;0.5365 s;0.0470 s;0.1595 s;0.0180 s;0.0648 s;0.0090 s
0;0;0.6610 s;457;356;0.0210 s;457;356;0.0110 s;0.5952 s;0.0070 s;0.1760 s;0.0380 s;0.0530 s;0.0200 s
0;0;0.9582 s;702;511;0.0190 s;702;511;0.0020 s;0.9074 s;0.0010 s;0.2675 s;1.1495 s;2.3691 s;0.5821 s
0;0;0.3807 s;385;207;0.0180 s;385;207;0.0080 s;0.3461 s;0.0460 s;0.1019 s;0.2692 s;0.2831 s;0.1320 s
0;0;0.7320 s;428;398;0.0170 s;428;398;0.0130 s;0.6691 s;0.0270 s;0.2008 s;0.0080 s;0.0160 s;0.0040 s
0;0;0.5691 s;323;312;0.0230 s;323;312;0.0106 s;0.5260 s;0.0060 s;0.1570 s;0.0220 s;0.0846 s;0.0110 s
0;0;0.9885 s;338;538;0.0180 s;338;538;0.0080 s;0.9466 s;0.0410 s;0.2812 s;0.2330 s;0.3606 s;0.1185 s
0;0;0.5407 s;439;296;0.0190 s;439;296;0.0110 s;0.4981 s;0.0030 s;0.1463 s;0.0390 s;0.1466 s;0.0210 s
0;0;0.6115 s;342;331;0.0225 s;342;331;0.0130 s;0.5665 s;0.0120 s;0.1640 s;0.0065 s;0.0235 s;0.0030 s
0;0;0.8714 s;667;454;0.0160 s;667;454;0.0030 s;0.8176 s;0.0220 s;0.2720 s;0.9166 s;1.5458 s;0.4526 s
0;0;0.7256 s;360;398;0.0180 s;360;398;0.0150 s;0.6765 s;0.0250 s;0.1980 s;0.0010 s;0.0000 s;0.0000 s
0;0;0.7636 s;364;410;0.0180 s;364;410;0.0140 s;0.7055 s;0.0080 s;0.2070 s;0.0010 s;0.0010 s;0.0010 s
0;0;0.6592 s;396;354;0.0255 s;396;354;0.0145 s;0.6041 s;0.0310 s;0.1750 s;0.0000 s;0.0010 s;0.0000 s
0;0;0.3514 s;405;189;0.0260 s;405;189;0.0070 s;0.3180 s;0.0590 s;0.0920 s;0.3360 s;0.4430 s;0.1710 s
0;0;1.4123 s;0;0;0.0000 s;0;0;0.0000 s;1.3898 s;1.6305 s;0.4137 s;1.6119 s;3.4770 s;0.8103 s
0;0;0.5606 s;130;315;0.0230 s;130;315;0.0050 s;0.5380 s;0.0390 s;0.1615 s;0.6272 s;1.0106 s;0.3152 s
0;0;0.7193 s;383;385;0.0190 s;383;385;0.0150 s;0.6501 s;0.0350 s;0.1946 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.7990 s;497;415;0.0126 s;497;415;0.0090 s;0.7199 s;0.0371 s;0.2111 s;0.1180 s;0.1984 s;0.0609 s
0;0;0.5555 s;159;317;0.0129 s;159;317;0.0060 s;0.5394 s;0.0060 s;0.1600 s;0.4755 s;0.7897 s;0.2365 s
0;0;0.4985 s;424;268;0.0130 s;424;268;0.0100 s;0.4469 s;0.0597 s;0.1305 s;0.0895 s;0.1890 s;0.0460 s
0;0;0.8287 s;488;444;0.0235 s;488;444;0.0100 s;0.7679 s;0.0010 s;0.2311 s;0.0943 s;0.2619 s;0.0483 s
0;0;1.3801 s;0;0;0.0000 s;0;0;0.0000 s;1.3803 s;1.6050 s;0.4150 s;1.6408 s;3.5438 s;0.8127 s
0;0;0.3949 s;556;208;0.0170 s;556;208;0.0050 s;0.3432 s;0.0370 s;0.1020 s;0.3130 s;1.3415 s;0.1595 s
0;0;0.7341 s;352;402;0.0310 s;352;402;0.0130 s;0.6782 s;0.0290 s;0.2005 s;0.0010 s;0.0010 s;0.0010 s
0;0;0.5710 s;363;303;0.0290 s;363;303;0.0130 s;0.5127 s;0.0200 s;0.1515 s;0.0300 s;0.0350 s;0.0152 s
0;0;0.6601 s;287;367;0.0260 s;287;367;0.0116 s;0.6107 s;0.0050 s;0.1805 s;0.0534 s;0.0566 s;0.0281 s
0;0;0.6076 s;403;326;0.0240 s;403;326;0.0120 s;0.5462 s;0.0040 s;0.1610 s;0.0080 s;0.0185 s;0.0040 s
0;0;0.7994 s;299;440;0.0120 s;299;440;0.0110 s;0.7551 s;0.0020 s;0.2250 s;0.0380 s;0.1470 s;0.0190 s
0;0;0.8848 s;408;484;0.0265 s;408;484;0.0100 s;0.8422 s;0.0150 s;0.2496 s;0.0830 s;0.1370 s;0.0440 s
0;0;0.7984 s;291;435;0.0198 s;291;435;0.0110 s;0.7696 s;0.0717 s;0.2220 s;0.0475 s;0.1595 s;0.0230 s
0;0;1.0441 s;605;551;0.0190 s;605;551;0.0030 s;0.9779 s;0.1520 s;0.2901 s;0.5421 s;1.8749 s;0.2726 s
0;0;0.7635 s;690;404;0.0150 s;690;404;0.0020 s;0.6967 s;0.0910 s;0.2094 s;1.0693 s;1.2981 s;0.5341 s
0;0;0.7571 s;401;410;0.0285 s;401;410;0.0140 s;0.7014 s;0.0220 s;0.2075 s;0.0010 s;0.0060 s;0.0010 s
0;0;0.9256 s;403;498;0.0259 s;403;498;0.0090 s;0.8700 s;0.0020 s;0.2570 s;0.1135 s;0.1635 s;0.0600 s
0;0;0.5900 s;338;326;0.0280 s;338;326;0.0130 s;0.5452 s;0.0270 s;0.1630 s;0.0100 s;0.0370 s;0.0050 s
0;0;1.1395 s;297;620;0.0205 s;297;620;0.0050 s;1.1116 s;0.0020 s;0.3261 s;0.6151 s;1.1112 s;0.3060 s
0;0;0.0560 s;503;28;0.0090 s;503;28;0.0010 s;0.0410 s;0.1180 s;0.0130 s;1.3537 s;2.4810 s;0.6721 s
0;0;1.2357 s;484;678;0.0195 s;484;678;0.0030 s;1.2165 s;0.0185 s;0.3641 s;0.9746 s;1.9151 s;0.4980 s
0;0;0.6207 s;376;337;0.0180 s;376;337;0.0140 s;0.5725 s;0.0165 s;0.1720 s;0.0020 s;0.0030 s;0.0020 s
0;0;0.5281 s;260;293;0.0250 s;260;294;0.0090 s;0.4881 s;0.0050 s;0.1438 s;0.1101 s;0.3551 s;0.0560 s
0;0;0.6919 s;344;384;0.0190 s;344;384;0.0140 s;0.6500 s;0.0080 s;0.1916 s;0.0010 s;0.0000 s;0.0010 s
0;0;0.6226 s;658;319;0.0260 s;658;319;0.0040 s;0.5516 s;0.0080 s;0.1636 s;0.8380 s;1.2279 s;0.4206 s
0;0;0.6714 s;365;368;0.0180 s;365;368;0.0140 s;0.6212 s;0.0020 s;0.1825 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.9601 s;300;532;0.0250 s;300;532;0.0090 s;0.9538 s;0.0690 s;0.2810 s;0.2190 s;0.5254 s;0.1090 s
0;0;0.8116 s;256;446;0.0250 s;256;446;0.0090 s;0.7795 s;0.0290 s;0.2266 s;0.1180 s;0.3121 s;0.0565 s
0;0;0.4920 s;327;272;0.0230 s;327;272;0.0100 s;0.4611 s;0.0440 s;0.1380 s;0.0821 s;0.1870 s;0.0390 s
0;0;1.1743 s;597;633;0.0210 s;597;633;0.0020 s;1.1221 s;0.0040 s;0.3340 s;0.6858 s;2.5143 s;0.3470 s
0;0;0.7061 s;372;382;0.0260 s;372;382;0.0150 s;0.6387 s;0.0665 s;0.1889 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.7015 s;411;380;0.0260 s;411;380;0.0130 s;0.6435 s;0.0180 s;0.1902 s;0.0010 s;0.0010 s;0.0000 s
0;0;0.7472 s;432;404;0.0130 s;432;404;0.0130 s;0.6861 s;0.0900 s;0.2029 s;0.0110 s;0.0270 s;0.0060 s
0;0;0.9702 s;86;540;0.0240 s;86;540;0.0020 s;0.9542 s;0.0155 s;0.2815 s;0.9147 s;2.2951 s;0.4461 s
0;0;1.3715 s;0;0;0.0000 s;0;0;0.0000 s;1.3699 s;1.6029 s;0.4044 s;1.6032 s;3.4591 s;0.8080 s
0;0;0.6756 s;462;366;0.0245 s;462;366;0.0110 s;0.6068 s;0.0190 s;0.1810 s;0.0445 s;0.0475 s;0.0230 s
0;0;0.6201 s;353;341;0.0150 s;353;341;0.0130 s;0.5741 s;0.0570 s;0.1711 s;0.0020 s;0.0070 s;0.0010 s
0;0;0.6501 s;474;342;0.0241 s;474;342;0.0100 s;0.5753 s;0.0030 s;0.1748 s;0.0660 s;0.1201 s;0.0330 s
0;0;0.6050 s;233;344;0.0265 s;233;344;0.0095 s;0.5746 s;0.0020 s;0.1708 s;0.1800 s;0.2560 s;0.0880 s
0;0;0.8752 s;439;471;0.0210 s;439;471;0.0100 s;0.8160 s;0.0220 s;0.2415 s;0.0604 s;0.1913 s;0.0310 s
0;0;1.3786 s;0;0;0.0000 s;0;0;0.0000 s;1.3779 s;1.5986 s;0.4140 s;1.6160 s;3.5113 s;0.8112 s
0;0;1.1190 s;241;615;0.0160 s;241;615;0.0040 s;1.0898 s;0.1201 s;0.3242 s;0.5828 s;1.5958 s;0.2939 s
0;0;0.7548 s;534;391;0.0190 s;534;391;0.0080 s;0.6755 s;0.0135 s;0.2031 s;0.2241 s;0.2493 s;0.1120 s
0;0;0.7198 s;371;392;0.0180 s;371;392;0.0150 s;0.6643 s;0.0269 s;0.1970 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.3226 s;381;178;0.0205 s;381;178;0.0064 s;0.2930 s;0.0080 s;0.0870 s;0.3850 s;0.3986 s;0.1962 s
0;0;0.9782 s;459;523;0.0150 s;459;523;0.0080 s;0.9268 s;0.0210 s;0.2735 s;0.1870 s;0.4956 s;0.0950 s
0;0;0.4033 s;488;212;0.0210 s;488;212;0.0060 s;0.3572 s;0.0689 s;0.1060 s;0.2491 s;0.7820 s;0.1250 s
0;0;0.7328 s;240;410;0.0255 s;240;410;0.0095 s;0.6991 s;0.0190 s;0.2050 s;0.1574 s;0.2348 s;0.0790 s
0;0;1.3946 s;535;750;0.0190 s;534;751;0.0000 s;1.3850 s;0.1035 s;0.4115 s;1.5763 s;2.8454 s;0.7908 s
0;0;0.4560 s;331;250;0.0250 s;331;250;0.0090 s;0.4195 s;0.0610 s;0.1237 s;0.1320 s;0.2472 s;0.0671 s
0;0;0.8264 s;388;453;0.0260 s;388;453;0.0120 s;0.7793 s;0.0510 s;0.2321 s;0.0320 s;0.0375 s;0.0165 s
0;0;1.1605 s;588;621;0.0155 s;588;621;0.0030 s;1.1161 s;0.1056 s;0.3293 s;0.6115 s;2.3066 s;0.3111 s
0;0;0.5346 s;267;297;0.0180 s;267;297;0.0100 s;0.5016 s;0.0060 s;0.1509 s;0.0915 s;0.3106 s;0.0466 s
0;0;0.4421 s;476;236;0.0270 s;476;236;0.0070 s;0.3926 s;0.0410 s;0.1180 s;0.1675 s;0.5668 s;0.0825 s
0;0;0.8217 s;392;446;0.0150 s;392;446;0.0115 s;0.7730 s;0.0837 s;0.2267 s;0.0230 s;0.0305 s;0.0115 s
0;0;0.0320 s;308;18;0.0060 s;308;18;0.0010 s;0.0230 s;0.1020 s;0.0070 s;1.4382 s;2.0858 s;0.7212 s
0;0;0.1715 s;648;88;0.0210 s;648;88;0.0000 s;0.1450 s;0.0330 s;0.0440 s;0.8966 s;2.9853 s;0.4497 s
0;0;1.3753 s;0;0;0.0000 s;0;0;0.0000 s;1.3772 s;1.5825 s;0.4120 s;1.6140 s;3.4609 s;0.8183 s
0;0;0.8202 s;362;443;0.0130 s;362;443;0.0120 s;0.7689 s;0.0500 s;0.2259 s;0.0200 s;0.0270 s;0.0110 s
0;0;0.7022 s;304;388;0.0150 s;304;388;0.0110 s;0.6540 s;0.0020 s;0.1966 s;0.0275 s;0.0300 s;0.0140 s
